"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-02",," 1912","0.00","0.0","0.0",,"40","28",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-03",," 0136","0.00","0.0","0.0",,"43","22",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-04",," 1748","0.00","0.0","0.0",,"52","28",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-05",," 2130","0.62","0.0","0.0",,"50","33",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-06",," 1454","0.11","0.0","0.0",,"61","44",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-07",," 0500","0.00","0.0","0.0",,"44","33",,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-08",," 0000","0.00","0.0","0.0",,"44","30",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-09",," 1430","0.00","0.0","0.0",,"60","43",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-10",," 2306","0.20","0.0","0.0",,"68","51",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-11",," 1442","0.20","0.0","0.0",,"65","40",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-12",," 1000","0.00","0.0","0.0",,"43","32",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-13",," 2024","0.29","4.9","0.0",,"33","26",,"    1",,,"    1",,"    1",,,"    1",,,,,,,"    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-14",," 1848","0.19","1.3","4.0",,"30","22",,"    1",,,"    1",,,,,"    1",,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-15",," 0354","0.00","0.0","3.0",,"36","23",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-16",," 1700","0.00","0.0","2.0",,"43","20",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-17",," 1724","0.00","0.0","1.0",,"53","33",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-18",," 1754","1.10","0.0","0.0",,"48","33",,"    1",,,,,,,"    1",,,,,,,,"    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-19",," 1324","0.09","0.0","0.0",,"39","28",,"    1",,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-20",," 0112","0.00","0.0","0.0",,"38","27",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-21",," 0400","0.03","0.6","0.0",,"36","26",,"    1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-22",," 1642","0.00","0.0","1.0",,"44","30",,"    1",,,,,,,"    1",,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-23",," 1024","0.00","0.0","0.0",,"44","30",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-24",," 0906","0.00","0.0","0.0",,"43","28",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-25",," 1254","0.50","0.4","0.0",,"44","31",,"    1",,,"    1",,,,"    1",,,,,,,,"    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-26",," 1618","0.00","0.0","0.0",,"46","34",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-27",," 0948","0.00","0.0","0.0",,"44","31",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-28",," 1500","0.00","0.0","0.0",,"43","31",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-02-29",," 2318","0.00","0.0","0.0",,"39","29",,"    1",,,,,,,"    1",,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-01",," 1712","0.00","0.0","0.0",,"35","22",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-02",," 0442","0.06","0.8","0.0",,"34","22",,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-03",," 0454","0.87","7.1","6.0",,"26","21",,"    1",,,"    1",,,,"    1","    1",,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-04",," 1012","0.00","0.0","8.0",,"29","19",,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-05",," 1054","0.00","0.0","7.0",,"27","20",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-06",," 0900","0.00","0.0","7.0",,"33","19",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-07",," 0800","0.00","0.0","4.0",,"30","18",,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-08",," 1642","0.00","0.0","3.0",,"31","16",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-09",," 1754","0.12","3.2","2.0",,"31","18",,,,,,,,,"    1",,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-10",," 2300","0.10","2.6","8.0",,"33","23",,"    1",,,,,,,"    1",,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-03-11",," 0230","0.00","0.0","4.0",,"31","15",,,,,,,,,,,,,,,,,,,,,,,
